日期,股票代码,股票名称,连板数,第一次封板时间,最后封板时间,炸板次数,尾盘是否封板,封单金额_亿元,封单量,封单比,第二日开盘收益,第二日最高收益,第二日最低收益,第二日收盘收益,第三日收益,是否连板,涨停类型,第一次封板秒数,最后封板秒数,第一次封板分钟_距0930,最后封板分钟_距0930,首封时间段,炸板次数分组
2026-06-12,002976,瑞玛精密,1.0,09:32:09,09:34:36,1.0,,0.54271728,,,-0.0593119810201661,-0.0264926848556741,-0.10003954132068,-0.10003954132068,-0.1759588770264927,False,首板,34329.0,34476.0,2.15,4.6,09:30-10:00,1次
2026-06-12,002985,北摩高科,1.0,09:57:39,09:57:39,0.0,,1.29511964,,,0.0196732244081361,0.0440146715571856,0.0070023341113705,0.037679226408803,0.0223407802600867,False,首板,35859.0,35859.0,27.65,27.65,09:30-10:00,0次
2026-06-12,002997,瑞鹄模具,1.0,11:22:54,11:22:54,0.0,,1.09878262,,,0.0108917631041525,0.0207624234172907,-0.0085091899251191,0.020081688223281,0.0347174948944859,False,首板,40974.0,40974.0,112.9,112.9,10:00-11:30,0次
2026-06-12,003009,中天火箭,1.0,09:43:36,09:43:36,0.0,,0.67778191,,,-0.0001649620587265,0.0841306499505114,-0.0287033982184097,0.0516331243813923,0.0042890135268889,False,首板,35016.0,35016.0,13.6,13.6,09:30-10:00,0次
2026-06-12,600067,冠城新材,2.0,10:22:56,10:22:56,0.0,,0.1875801,,,-0.0086206896551723,0.0689655172413794,-0.0373563218390804,0.028735632183908,0.0431034482758621,False,二板,37376.0,37376.0,52.93333333333333,52.93333333333333,10:00-11:30,0次
2026-06-12,600229,城市传媒,1.0,10:12:01,10:12:01,0.0,,0.28346479,,,-0.0581583198707593,-0.0420032310177707,-0.0726978998384491,-0.0613893376413571,-0.1033925686591277,False,首板,36721.0,36721.0,42.016666666666666,42.016666666666666,10:00-11:30,0次
2026-06-12,600292,电投水电,1.0,13:00:46,13:33:28,1.0,,0.18844615,,,0.0137835975189524,0.0241212956581666,-0.0144727773949,0.0103376981392142,-0.0199862164024809,False,首板,46846.0,48808.0,210.76666666666668,243.46666666666667,13:00-14:00,1次
2026-06-12,600391,航发科技,1.0,09:43:49,09:43:49,0.0,,0.68014767,,,-0.0242787774921451,0.0308483290488432,-0.0311339617252213,0.0114253070551271,-0.0117109397315051,False,首板,35029.0,35029.0,13.816666666666666,13.816666666666666,09:30-10:00,0次
2026-06-12,600497,驰宏锌锗,1.0,09:40:46,09:42:43,1.0,,1.00521368,,,0.0495689655172415,0.0948275862068965,0.03125,0.0905172413793102,0.0851293103448276,False,首板,34846.0,34963.0,10.766666666666667,12.716666666666669,09:30-10:00,1次
2026-06-12,600531,豫光金铅,1.0,10:42:50,10:42:50,0.0,,0.20373184,,,0.0084033613445377,0.0488922841864019,0.0,0.0481283422459892,0.0435446906035141,False,首板,38570.0,38570.0,72.83333333333333,72.83333333333333,10:00-11:30,0次
2026-06-12,600539,狮头股份,1.0,10:26:34,10:37:34,1.0,,0.6545804,,,0.0336597307221542,0.0514075887392899,-0.0024479804161565,-0.0024479804161565,-0.0171358629130967,False,首板,37594.0,38254.0,56.56666666666667,67.56666666666666,10:00-11:30,1次
2026-06-12,600567,山鹰国际,1.0,10:42:11,14:46:38,9.0,,0.0249696,,,-0.0138888888888889,0.0069444444444444,-0.0347222222222222,-0.0208333333333333,-0.0347222222222222,False,首板,38531.0,53198.0,72.18333333333334,316.6333333333333,10:00-11:30,4次及以上
2026-06-12,600576,祥源文旅,1.0,09:52:38,14:40:08,14.0,,0.0330321,,,0.0,0.0728155339805824,-0.0129449838187701,0.0598705501618124,-0.0307443365695792,False,首板,35558.0,52808.0,22.633333333333333,310.1333333333333,09:30-10:00,4次及以上
